DivisionName,State,TotalRegVoters,CurrMember
Adelaide,SA,NULL,NULL
Aston,VIC,NULL,NULL
Ballarat,VIC,NULL,NULL
Banks,NSW,NULL,NULL
Barker,SA,NULL,NULL
Barton,NSW,NULL,NULL
Bass,TAS,NULL,NULL
Bean,ACT,NULL,NULL
Bendigo,VIC,NULL,NULL
Bennelong,NSW,NULL,NULL
Berowra,NSW,NULL,NULL
Blair,QLD,NULL,NULL
Blaxland,NSW,NULL,NULL
Bonner,QLD,NULL,NULL
Boothby,SA,NULL,NULL
Bowman,QLD,NULL,NULL
Braddon,TAS,NULL,NULL
Bradfield,NSW,NULL,NULL
Brand,WA,NULL,NULL
Brisbane,QLD,NULL,NULL
Bruce,VIC,NULL,NULL
Burt,WA,NULL,NULL
Calare,NSW,NULL,NULL
Calwell,VIC,NULL,NULL
Canberra,ACT,NULL,NULL
Canning,WA,NULL,NULL
Capricornia,QLD,NULL,NULL
Casey,VIC,NULL,NULL
Chifley,NSW,NULL,NULL
Chisholm,VIC,NULL,NULL
Clark,TAS,NULL,NULL
Cook,NSW,NULL,NULL
Cooper,VIC,NULL,NULL
Corangamite,VIC,NULL,NULL
Corio,VIC,NULL,NULL
Cowan,WA,NULL,NULL
Cowper,NSW,NULL,NULL
Cunningham,NSW,NULL,NULL
Curtin,WA,NULL,NULL
Dawson,QLD,NULL,NULL
Deakin,VIC,NULL,NULL
Dickson,QLD,NULL,NULL
Dobell,NSW,NULL,NULL
Dunkley,VIC,NULL,NULL
Durack,WA,NULL,NULL
Eden-Monaro,NSW,NULL,NULL
Fadden,QLD,NULL,NULL
Fairfax,QLD,NULL,NULL
Farrer,NSW,NULL,NULL
Fenner,ACT,NULL,NULL
Fisher,QLD,NULL,NULL
Flinders,VIC,NULL,NULL
Flynn,QLD,NULL,NULL
Forde,QLD,NULL,NULL
Forrest,WA,NULL,NULL
Fowler,NSW,NULL,NULL
Franklin,TAS,NULL,NULL
Fraser,VIC,NULL,NULL
Fremantle,WA,NULL,NULL
Gellibrand,VIC,NULL,NULL
Gilmore,NSW,NULL,NULL
Gippsland,VIC,NULL,NULL
Goldstein,VIC,NULL,NULL
Gorton,VIC,NULL,NULL
Grayndler,NSW,NULL,NULL
Greenway,NSW,NULL,NULL
Grey,SA,NULL,NULL
Griffith,QLD,NULL,NULL
Groom,QLD,NULL,NULL
Hasluck,WA,NULL,NULL
Hawke,VIC,NULL,NULL
Herbert,QLD,NULL,NULL
Higgins,VIC,NULL,NULL
Hindmarsh,SA,NULL,NULL
Hinkler,QLD,NULL,NULL
Holt,VIC,NULL,NULL
Hotham,VIC,NULL,NULL
Hughes,NSW,NULL,NULL
Hume,NSW,NULL,NULL
Hunter,NSW,NULL,NULL
Indi,VIC,NULL,NULL
Isaacs,VIC,NULL,NULL
Jagajaga,VIC,NULL,NULL
Kennedy,QLD,NULL,NULL
Kingsford Smith,NSW,NULL,NULL
Kingston,SA,NULL,NULL
Kooyong,VIC,NULL,NULL
La Trobe,VIC,NULL,NULL
Lalor,VIC,NULL,NULL
Leichhardt,QLD,NULL,NULL
Lilley,QLD,NULL,NULL
Lindsay,NSW,NULL,NULL
Lingiari,NT,NULL,NULL
Longman,QLD,NULL,NULL
Lyne,NSW,NULL,NULL
Lyons,TAS,NULL,NULL
Macarthur,NSW,NULL,NULL
Mackellar,NSW,NULL,NULL
Macnamara,VIC,NULL,NULL
Macquarie,NSW,NULL,NULL
Makin,SA,NULL,NULL
Mallee,VIC,NULL,NULL
Maranoa,QLD,NULL,NULL
Maribyrnong,VIC,NULL,NULL
Mayo,SA,NULL,NULL
McEwen,VIC,NULL,NULL
McMahon,NSW,NULL,NULL
McPherson,QLD,NULL,NULL
Melbourne,VIC,NULL,NULL
Menzies,VIC,NULL,NULL
Mitchell,NSW,NULL,NULL
Monash,VIC,NULL,NULL
Moncrieff,QLD,NULL,NULL
Moore,WA,NULL,NULL
Moreton,QLD,NULL,NULL
New England,NSW,NULL,NULL
Newcastle,NSW,NULL,NULL
Nicholls,VIC,NULL,NULL
North Sydney,NSW,NULL,NULL
O'Connor,WA,NULL,NULL
Oxley,QLD,NULL,NULL
Page,NSW,NULL,NULL
Parkes,NSW,NULL,NULL
Parramatta,NSW,NULL,NULL
Paterson,NSW,NULL,NULL
Pearce,WA,NULL,NULL
Perth,WA,NULL,NULL
Petrie,QLD,NULL,NULL
Rankin,QLD,NULL,NULL
Reid,NSW,NULL,NULL
Richmond,NSW,NULL,NULL
Riverina,NSW,NULL,NULL
Robertson,NSW,NULL,NULL
Ryan,QLD,NULL,NULL
Scullin,VIC,NULL,NULL
Shortland,NSW,NULL,NULL
Solomon,NT,NULL,NULL
Spence,SA,NULL,NULL
Sturt,SA,NULL,NULL
Swan,WA,NULL,NULL
Sydney,NSW,NULL,NULL
Tangney,WA,NULL,NULL
Wannon,VIC,NULL,NULL
Warringah,NSW,NULL,NULL
Watson,NSW,NULL,NULL
Wentworth,NSW,NULL,NULL
Werriwa,NSW,NULL,NULL
Whitlam,NSW,NULL,NULL
Wide Bay,QLD,NULL,NULL
Wills,VIC,NULL,NULL
Wright,QLD,NULL,NULL
